                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0693,                  1.082,                 1.3113,                0.82153,                0.70133,                 0.7973,                0.52508,                 1.0992,                0.96788,                 1.2785,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.0617,                 1.0865,                 1.3141,                0.82163,                0.71675,                0.80428,                0.52188,                  1.123,                0.94872,                 1.2911,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0546,                 1.0641,                 1.3091,                   0.82,                0.68158,                0.78373,                0.51139,                 1.1173,                0.97981,                  1.279,               0.001307,               0.001307,               0.001307
                     37,                 1.0715,                  1.069,                 1.3132,                0.82656,                0.70873,                0.79842,                0.53241,                 1.0833,                0.94525,                 1.2551,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0502,                  1.047,                 1.3009,                0.82116,                0.71121,                 0.8033,                0.53998,                 1.0882,                0.93441,                  1.255,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0473,                 1.0494,                 1.3043,                0.80941,                  0.722,                0.80289,                0.53501,                 1.0721,                 0.9466,                 1.2469,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0538,                 1.0635,                 1.3066,                0.80827,                0.70102,                0.79371,                0.53596,                 1.0786,                 0.9461,                 1.2565,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0439,                 1.0368,                 1.3015,                0.81593,                0.72632,                0.80926,                 0.5469,                 1.0617,                 0.9184,                 1.2395,               0.001208,               0.001208,               0.001208
                     42,                 1.0228,                 1.0079,                 1.2841,                0.81794,                0.71946,                0.80856,                0.54455,                 1.0673,                0.90492,                 1.2375,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.029,                 1.0091,                 1.2854,                0.82956,                0.70842,                0.80576,                0.53947,                 1.0602,                0.92325,                 1.2398,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0329,                 1.0199,                 1.2832,                 0.8042,                 0.7291,                0.80678,                0.54528,                  1.054,                 0.9173,                 1.2375,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0045,                0.98769,                 1.2681,                 0.8258,                0.73187,                0.81119,                0.54929,                 1.0487,                0.89578,                 1.2274,              0.0011288,              0.0011288,              0.0011288
                     46,                  1.016,                0.99009,                 1.2643,                0.81917,                0.73311,                0.81248,                0.55487,                 1.0387,                0.87703,                 1.2331,               0.001109,               0.001109,               0.001109
                     47,                 1.0229,                0.98705,                 1.2829,                0.82135,                0.73434,                0.81636,                0.54485,                 1.0505,                0.90034,                 1.2328,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0043,                0.98157,                 1.2722,                0.81527,                0.74175,                0.81559,                0.55301,                  1.046,                 0.8845,                 1.2345,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0095,                0.97658,                 1.2698,                0.81553,                0.72159,                0.81126,                0.55504,                 1.0378,                0.88014,                 1.2179,              0.0010496,              0.0010496,              0.0010496
                     50,                0.99244,                0.97042,                 1.2634,                0.82185,                0.72591,                0.80775,                0.55163,                 1.0439,                0.88753,                 1.2217,              0.0010298,              0.0010298,              0.0010298
                     51,                0.98725,                0.95718,                 1.2509,                0.82405,                0.72755,                0.81211,                0.55374,                 1.0357,                0.87317,                 1.2145,                0.00101,                0.00101,                0.00101
                     52,                0.99435,                0.95763,                  1.253,                0.84597,                0.71737,                 0.8147,                0.55745,                 1.0418,                0.87248,                 1.2207,              0.0009902,              0.0009902,              0.0009902
                     53,                0.99782,                0.95116,                 1.2571,                0.82801,                0.72447,                0.81543,                0.56139,                 1.0341,                0.85995,                 1.2157,              0.0009704,              0.0009704,              0.0009704
                     54,                0.98001,                0.93549,                 1.2514,                0.82241,                0.73064,                0.81789,                0.55946,                 1.0441,                0.85552,                 1.2237,              0.0009506,              0.0009506,              0.0009506
                     55,                0.97562,                0.94199,                 1.2468,                0.85247,                0.72447,                0.82141,                0.56439,                 1.0345,                0.84737,                 1.2157,              0.0009308,              0.0009308,              0.0009308
                     56,                0.97686,                0.93681,                 1.2416,                0.84151,                 0.7291,                0.82599,                0.56728,                 1.0349,                0.84293,                 1.2132,               0.000911,               0.000911,               0.000911
                     57,                 0.9713,                0.93264,                 1.2447,                0.84124,                0.74224,                0.82801,                0.56164,                 1.0487,                0.84575,                 1.2278,              0.0008912,              0.0008912,              0.0008912
                     58,                0.95925,                0.90869,                 1.2355,                0.84023,                0.73619,                0.82263,                0.56621,                 1.0316,                0.83964,                 1.2089,              0.0008714,              0.0008714,              0.0008714
                     59,                0.96369,                0.91465,                 1.2427,                0.82101,                0.73928,                 0.8169,                0.56488,                 1.0394,                0.84818,                 1.2113,              0.0008516,              0.0008516,              0.0008516
                     60,                0.96316,                0.92007,                 1.2374,                0.83887,                0.74052,                0.82366,                0.56496,                 1.0419,                0.85263,                 1.2203,              0.0008318,              0.0008318,              0.0008318
                     61,                0.95483,                0.90203,                 1.2271,                0.82657,                0.73967,                0.82276,                0.56866,                 1.0277,                0.83644,                 1.2169,               0.000812,               0.000812,               0.000812
                     62,                0.95078,                0.89571,                 1.2319,                0.83121,                0.74421,                0.82552,                   0.57,                 1.0229,                0.83811,                  1.205,              0.0007922,              0.0007922,              0.0007922
                     63,                0.93619,                0.87012,                 1.2164,                0.82033,                0.74576,                0.81908,                0.56623,                 1.0376,                0.85126,                 1.2206,              0.0007724,              0.0007724,              0.0007724
                     64,                0.94461,                  0.891,                 1.2231,                0.83697,                 0.7473,                 0.8249,                0.56211,                  1.042,                0.84192,                 1.2208,              0.0007526,              0.0007526,              0.0007526
                     65,                0.94155,                0.88777,                 1.2214,                0.84095,                 0.7472,                  0.829,                0.56987,                  1.041,                0.82607,                 1.2153,              0.0007328,              0.0007328,              0.0007328
                     66,                0.93645,                0.88308,                 1.2204,                0.81856,                0.75306,                0.82672,                0.57031,                 1.0333,                0.83494,                 1.2167,               0.000713,               0.000713,               0.000713
                     67,                0.93083,                0.86856,                 1.2163,                0.84235,                0.74637,                0.83287,                0.57467,                 1.0364,                0.82001,                 1.2142,              0.0006932,              0.0006932,              0.0006932
                     68,                0.92416,                0.85179,                 1.2032,                0.82717,                0.75131,                0.82577,                0.57267,                   1.02,                0.82663,                 1.2065,              0.0006734,              0.0006734,              0.0006734
                     69,                0.92071,                0.86582,                 1.2082,                0.83946,                0.75409,                0.83201,                 0.5784,                 1.0134,                0.81608,                 1.2066,              0.0006536,              0.0006536,              0.0006536
                     70,                0.92487,                0.85593,                 1.2123,                0.81682,                0.75995,                0.82717,                0.57351,                   1.02,                0.82728,                 1.2072,              0.0006338,              0.0006338,              0.0006338
                     71,                0.91289,                0.84467,                 1.2033,                0.83761,                0.75687,                0.82929,                0.57322,                 1.0213,                0.80793,                 1.2036,               0.000614,               0.000614,               0.000614
                     72,                0.90541,                0.84094,                 1.1972,                0.82569,                0.75717,                0.82992,                0.57801,                 1.0095,                0.80603,                  1.205,              0.0005942,              0.0005942,              0.0005942
                     73,                0.90807,                0.82834,                 1.1995,                0.85666,                0.74051,                0.83069,                0.57512,                 1.0226,                0.81404,                 1.2064,              0.0005744,              0.0005744,              0.0005744
                     74,                0.90895,                0.82492,                 1.1964,                0.84068,                0.75544,                 0.8318,                0.57822,                 1.0169,                0.79164,                 1.2027,              0.0005546,              0.0005546,              0.0005546
                     75,                0.90079,                0.83166,                 1.1925,                0.84146,                0.74668,                0.83027,                0.57254,                 1.0252,                0.80941,                 1.2074,              0.0005348,              0.0005348,              0.0005348
